Local time,Ask,Bid,AskVolume,BidVolume
08.11.2016 07:46:03.089,1.10539,1.1053600000000001,2.25,4.5
08.11.2016 07:46:03.444,1.1054000000000002,1.10538,1.12,1
08.11.2016 07:46:03.952,1.1054000000000002,1.1053700000000002,1.12,1.12
08.11.2016 07:46:04.813,1.1054000000000002,1.10538,1.12,1
08.11.2016 07:46:05.231,1.10541,1.1054000000000002,1.12,1
08.11.2016 07:46:05.755,1.10541,1.1054000000000002,1,1.5
08.11.2016 07:46:06.362,1.10541,1.10538,8.62,1
08.11.2016 07:46:06.869,1.1054000000000002,1.1053700000000002,3.75,1
08.11.2016 07:46:10.839,1.1054000000000002,1.10538,1.5,1
08.11.2016 07:46:11.925,1.10541,1.1053700000000002,10.5,1
08.11.2016 07:46:12.280,1.10538,1.1053600000000001,1,1.87
08.11.2016 07:46:12.786,1.1053700000000002,1.10535,1.12,1
08.11.2016 07:46:13.562,1.10538,1.10535,9.94,1
08.11.2016 07:46:13.987,1.1053600000000001,1.10535,1,1
08.11.2016 07:46:14.493,1.1053700000000002,1.10535,3.37,1
08.11.2016 07:46:14.998,1.1053600000000001,1.10535,1,1
08.11.2016 07:46:15.352,1.10538,1.1053600000000001,1.5,1.5
08.11.2016 07:46:15.596,1.1054000000000002,1.1053700000000002,2.62,1
08.11.2016 07:46:17.557,1.10538,1.1053700000000002,1,1.12
08.11.2016 07:46:18.059,1.1054000000000002,1.1053700000000002,6,1
08.11.2016 07:46:21.993,1.1054000000000002,1.1053700000000002,4.5,1
08.11.2016 07:46:22.247,1.1053700000000002,1.10535,4.5,1
08.11.2016 07:46:22.752,1.1053600000000001,1.10535,1.12,1
08.11.2016 07:46:24.341,1.1053700000000002,1.10535,1.5,2.25
08.11.2016 07:46:24.516,1.10539,1.1053600000000001,1,1
08.11.2016 07:46:25.022,1.1054000000000002,1.1053700000000002,1,3.22
08.11.2016 07:46:25.563,1.10541,1.1053700000000002,4.5,6.6
08.11.2016 07:46:27.486,1.1054000000000002,1.1053700000000002,1,3
08.11.2016 07:46:27.994,1.10539,1.1053700000000002,1,1.12
08.11.2016 07:46:28.499,1.1054000000000002,1.1053700000000002,4.12,1.12
08.11.2016 07:46:29.557,1.10538,1.1053600000000001,1,1.5
08.11.2016 07:46:29.810,1.1053600000000001,1.10534,1.12,1
08.11.2016 07:46:31.601,1.10535,1.10534,1,1.5
08.11.2016 07:46:32.107,1.10535,1.10533,1.12,1.5
08.11.2016 07:46:32.572,1.1053600000000001,1.10535,2.25,1
08.11.2016 07:46:32.878,1.10541,1.1053700000000002,9.37,1.35
08.11.2016 07:46:33.282,1.10539,1.1053700000000002,1,1.35
08.11.2016 07:46:33.485,1.10541,1.1053700000000002,11.32,1.35
08.11.2016 07:46:33.990,1.10541,1.10538,10.12,1
08.11.2016 07:46:34.948,1.10541,1.1053700000000002,10.12,2.1
08.11.2016 07:46:35.840,1.1054000000000002,1.1053700000000002,1.5,1.12
08.11.2016 07:46:36.345,1.10539,1.1053600000000001,1,2.25
08.11.2016 07:46:36.884,1.1054000000000002,1.1053600000000001,5.62,3.75
08.11.2016 07:46:40.708,1.10539,1.1053600000000001,1,2.62
08.11.2016 07:46:40.809,1.1053700000000002,1.1053600000000001,2.25,1.87
08.11.2016 07:46:40.910,1.1053600000000001,1.10535,1,1.12
08.11.2016 07:46:42.678,1.1053600000000001,1.10534,7.46,3
08.11.2016 07:46:42.780,1.10534,1.10533,1,2.25
08.11.2016 07:46:43.323,1.10533,1.10531,1.12,1
08.11.2016 07:46:45.068,1.10534,1.10532,7.35,2.25
08.11.2016 07:46:45.735,1.10532,1.10531,1.72,1.5
08.11.2016 07:46:46.039,1.1053,1.10529,2.06,1
08.11.2016 07:46:46.545,1.1053,1.10528,3.19,3
08.11.2016 07:46:48.588,1.10529,1.10528,1,1.5
08.11.2016 07:46:49.195,1.10529,1.10528,1,2.25
08.11.2016 07:46:50.290,1.10529,1.10528,1,1
08.11.2016 07:46:52.089,1.10529,1.1052700000000002,1,4.5
08.11.2016 07:46:53.743,1.10529,1.10528,1,1
08.11.2016 07:46:54.249,1.10528,1.1052700000000002,1.5,3
08.11.2016 07:46:54.502,1.1052700000000002,1.1052600000000001,1.12,2.25
08.11.2016 07:46:54.759,1.10525,1.10524,1.5,3
08.11.2016 07:46:56.092,1.1052600000000001,1.10524,1.5,2.25
08.11.2016 07:46:56.947,1.1052600000000001,1.10525,1,2.25
08.11.2016 07:46:57.556,1.10525,1.10524,1.5,2.62
08.11.2016 07:46:58.090,1.1052600000000001,1.10524,2.25,3
08.11.2016 07:47:00.286,1.10525,1.10523,3.75,4.87
08.11.2016 07:47:00.706,1.10523,1.10522,6,1.5
08.11.2016 07:47:01.211,1.10523,1.10522,6.75,2.25
08.11.2016 07:47:03.543,1.10522,1.10521,4.5,3.75
08.11.2016 07:47:04.378,1.10521,1.1052,3.04,2.17
08.11.2016 07:47:04.642,1.1051900000000001,1.10518,5.85,1
08.11.2016 07:47:04.845,1.1051700000000002,1.1051600000000001,1.5,2.25
08.11.2016 07:47:06.957,1.1051700000000002,1.10515,1.27,3.37
08.11.2016 07:47:07.160,1.10515,1.10513,5.06,5.25
08.11.2016 07:47:07.669,1.10515,1.10514,2.06,3.75
08.11.2016 07:47:10.038,1.1051600000000001,1.10515,6.19,1
08.11.2016 07:47:10.292,1.1051700000000002,1.1051600000000001,3.19,3
08.11.2016 07:47:10.797,1.1051700000000002,1.10515,5.43,3
08.11.2016 07:47:11.051,1.10515,1.10513,14.1,2.5
08.11.2016 07:47:11.215,1.10514,1.10512,3,3.75
08.11.2016 07:47:11.739,1.10514,1.10512,4.87,3.75
08.11.2016 07:47:21.108,1.10513,1.10512,1.5,3.75
08.11.2016 07:47:26.377,1.10513,1.10511,1.37,5.25
08.11.2016 07:47:26.884,1.10514,1.10513,1.12,2.25
08.11.2016 07:47:27.238,1.1051600000000001,1.10514,3.19,3
08.11.2016 07:47:27.793,1.1051600000000001,1.10513,6.56,3.75
08.11.2016 07:47:28.335,1.1051600000000001,1.10514,5.81,1
08.11.2016 07:47:29.698,1.1051600000000001,1.10515,2.81,1
08.11.2016 07:47:30.335,1.1051600000000001,1.10514,2.81,1.5
08.11.2016 07:47:30.885,1.1051600000000001,1.10513,9.71,4.5
08.11.2016 07:47:31.392,1.10515,1.10514,1.5,2.25
08.11.2016 07:47:31.897,1.10514,1.10513,1,3.75
08.11.2016 07:47:41.545,1.10513,1.10512,1,3
08.11.2016 07:47:42.090,1.10513,1.10512,1,3
08.11.2016 07:47:43.951,1.10514,1.10512,3.79,2.25
08.11.2016 07:47:44.745,1.10514,1.10513,1.69,1.5
08.11.2016 07:47:45.281,1.10514,1.10512,1.69,4.5
08.11.2016 07:47:46.298,1.10514,1.10513,1.69,1
08.11.2016 07:47:50.590,1.10514,1.10512,3.66,3
08.11.2016 07:47:51.106,1.10513,1.10512,1.12,2.25
08.11.2016 07:47:51.737,1.10514,1.10512,1.69,4.87
08.11.2016 07:47:52.249,1.10514,1.10513,1.69,1.5
08.11.2016 07:47:55.268,1.10515,1.10513,5.44,4
08.11.2016 07:47:57.297,1.10513,1.10511,3.12,7.87
08.11.2016 07:47:57.500,1.10511,1.1051,1.5,3.75
08.11.2016 07:47:58.055,1.10512,1.10511,2.81,1
08.11.2016 07:47:58.560,1.10511,1.1051,1,3.75
08.11.2016 07:48:00.147,1.10512,1.10511,2.81,1.5
08.11.2016 07:48:04.392,1.10512,1.1051,3.94,4.5
08.11.2016 07:48:04.899,1.10512,1.10511,1.25,1.3
08.11.2016 07:48:07.176,1.10512,1.1051,1.69,6
08.11.2016 07:48:12.142,1.10512,1.10511,1.25,1
08.11.2016 07:48:12.698,1.10512,1.1051,1.25,6.97
08.11.2016 07:48:17.250,1.10512,1.1051,3.56,3.75
08.11.2016 07:48:17.777,1.10512,1.1051,3.94,3.75
08.11.2016 07:48:21.342,1.10511,1.1051,1.12,2.25
08.11.2016 07:48:21.843,1.10512,1.1051,2.44,3
08.11.2016 07:48:22.360,1.10512,1.1051,3.56,3
08.11.2016 07:48:22.488,1.10509,1.10508,2.44,2.62
08.11.2016 07:48:22.539,1.10509,1.1050700000000002,2.44,2.25
08.11.2016 07:48:23.046,1.10509,1.1050700000000002,5.66,1
08.11.2016 07:48:25.544,1.10509,1.1050600000000002,4.91,4.12
08.11.2016 07:48:26.141,1.10509,1.1050700000000002,5.06,1.5
08.11.2016 07:48:26.394,1.1051,1.10509,2.25,3.6
08.11.2016 07:48:26.698,1.1051700000000002,1.10515,5.25,3
08.11.2016 07:48:26.749,1.1051700000000002,1.1051600000000001,1,1
08.11.2016 07:48:26.850,1.10518,1.1051600000000001,1,1.5
08.11.2016 07:48:27.118,1.1051900000000001,1.10518,3.75,1
08.11.2016 07:48:27.321,1.1052,1.1051900000000001,2.62,1.5
08.11.2016 07:48:27.827,1.1052,1.10518,2.25,2.62
08.11.2016 07:48:28.807,1.1051900000000001,1.1051700000000002,1,5.85
08.11.2016 07:48:29.062,1.1051700000000002,1.10515,1.5,1.5
08.11.2016 07:48:29.568,1.1051700000000002,1.1051600000000001,1.5,1
08.11.2016 07:48:30.074,1.1051700000000002,1.10515,1.5,4.5
08.11.2016 07:48:32.618,1.1051600000000001,1.10515,2.4,2.25
08.11.2016 07:48:32.669,1.10514,1.10513,1.25,9
08.11.2016 07:48:33.124,1.10514,1.10513,3.19,1
08.11.2016 07:48:33.755,1.10514,1.10512,3.19,2.25
08.11.2016 07:48:34.109,1.10515,1.10513,6.56,4
08.11.2016 07:48:34.816,1.10514,1.10513,3.19,1
08.11.2016 07:48:35.321,1.10515,1.10514,5.44,1
08.11.2016 07:48:35.681,1.10513,1.10511,1,6
08.11.2016 07:48:35.732,1.10513,1.10511,1.12,1.87
08.11.2016 07:48:36.086,1.10512,1.1051,3.19,1.12
08.11.2016 07:48:36.390,1.10509,1.10508,3.19,1
08.11.2016 07:48:36.745,1.10508,1.1050600000000002,1,4.87
08.11.2016 07:48:37.634,1.10509,1.1050600000000002,3.79,4.12
08.11.2016 07:48:38.139,1.10508,1.1050600000000002,1,4.12
08.11.2016 07:48:39.091,1.10509,1.1050700000000002,4.54,2.12
08.11.2016 07:48:39.633,1.10509,1.1050700000000002,3.79,1
08.11.2016 07:48:40.626,1.10509,1.1050700000000002,3.19,1
