Timestamp,Balance,BRENTX
2016-09-14 08:33:10.400000, Balance: 10004.30,0.00, 0
2016-09-14 08:40:24.329000, Balance: 10004.30,0.00, 0
2016-09-14 08:46:32.583000, Balance: 10004.30,0.00, 0
2016-09-14 08:56:20.376000, Balance: 10004.30,0.00, 0
2016-09-14 09:03:47.748000, Balance: 10004.30,0.00, 0
2016-09-14 09:11:09.725000, Balance: 10004.30,0.00, 0
2016-09-14 09:18:36.085000, Balance: 10004.30,0.00, 0
2016-09-14 09:25:14.126000, Balance: 10004.30,0.00, 0
2016-09-14 09:28:55.470000, Balance: 10004.30,0.00, 0
2016-09-14 09:33:39.230000, Balance: 10004.30,0.00, 0
2016-09-14 09:43:12.468000, Balance: 10004.30,0.00, 0
2016-09-14 09:50:17.419000, Balance: 10004.30,0.00, 0
2016-09-14 09:57:17.722000, Balance: 10004.30,0.00, 0
2016-09-14 10:04:17.035000, Balance: 10004.30,0.00, 0
2016-09-14 10:10:38.441000, Balance: 10004.30,0.00, 0
2016-09-14 10:17:50.198000, Balance: 10004.30,0.00, 0
2016-09-14 10:27:26.020000, Balance: 10004.30,0.00, 0
2016-09-14 10:35:23.761000, Balance: 10004.30,0.00, 0
2016-09-14 10:43:43.609000, Balance: 10004.30,0.00, 0
2016-09-14 10:50:49.014000, Balance: 10004.30,0.00, 0
2016-09-14 10:58:43.446000, Balance: 10004.30,0.00, 0
2016-09-14 11:07:32.258000, Balance: 10004.30,0.00, 0
2016-09-14 11:20:09.155000, Balance: 10004.30,0.00, 0
2016-09-14 11:26:48.321000, Balance: 10004.30,0.00, 0
2016-09-14 11:35:48.229000, Balance: 10004.30,0.00, 0
2016-09-14 11:51:07.657000, Balance: 10004.30,0.00, 0
2016-09-14 12:04:57.860000, Balance: 10004.30,0.00, 0
2016-09-14 12:14:36.224000, Balance: 10004.30,0.00, 0
2016-09-14 12:24:59.886000, Balance: 10004.30,0.00, 0
2016-09-14 12:32:39.474000, Balance: 10004.30,0.00, 0
2016-09-14 12:40:37.194000, Balance: 10004.30,0.00, 0
2016-09-14 12:46:40.749000, Balance: 10004.30,0.00, 0
2016-09-14 12:52:46.419000, Balance: 10004.30,0.00, 0
2016-09-14 12:58:49.627000, Balance: 10004.30,0.00, 0
2016-09-14 13:05:41.523000, Balance: 10004.30,0.00, 0
2016-09-14 13:12:29.629000, Balance: 10004.30,0.00, 0
2016-09-14 13:15:39.245000, Balance: 10004.30,0.00, 0
2016-09-14 13:19:32.727000, Balance: 10004.30,0.00, 0
2016-09-14 13:24:37.589000, Balance: 10004.30,0.00, 0
2016-09-14 13:30:03.854000, Balance: 10004.30,0.00, 0
2016-09-14 13:35:22.106000, Balance: 10004.30,0.00, 0
2016-09-14 13:41:06.661000, Balance: 10004.30,0.00, 0
2016-09-14 13:45:15.565000, Balance: 10004.30,0.00, 0
2016-09-14 13:51:10.419000, Balance: 10004.30,0.00, 0
2016-09-14 13:56:06.331000, Balance: 10004.30,0.00, 0
2016-09-14 14:00:41.339000, Balance: 10004.30,0.00, 0
2016-09-14 14:03:16.404000, Balance: 10004.30,0.00, 0
2016-09-14 14:07:20.081000, Balance: 10004.30,0.00, 0
2016-09-14 14:10:48.911000, Balance: 10004.30,0.00, 0
2016-09-14 14:14:49.143000, Balance: 10004.30,0.00, 0
2016-09-14 14:19:31.627000, Balance: 10004.30,0.00, 0
2016-09-14 14:25:09.928000, Balance: 10004.30,0.00, 0
2016-09-14 14:30:00.324000, Balance: 10004.30,0.00, 0
2016-09-14 14:32:24.748000, Balance: 10004.30,0.00, 0
2016-09-14 14:35:29.228000, Balance: 10004.30,0.00, 0
2016-09-14 14:38:37.274000, Balance: 10004.30,0.00, 0
2016-09-14 14:41:42.253000, Balance: 10004.30,0.00, 0
2016-09-14 14:45:16.118000, Balance: 10004.30,0.00, 0
2016-09-14 14:48:35.465000, Balance: 10004.30,0.00, 0
2016-09-14 14:52:24.593000, Balance: 10004.30,0.00, 0
2016-09-14 14:56:06.177000, Balance: 10004.30,0.00, 0
2016-09-14 14:59:41.854000, Balance: 10004.30,0.00, 0
2016-09-14 15:02:37.302000, Balance: 10004.30,0.00, 0
2016-09-14 15:05:29.090000, Balance: 10004.30,0.00, 0
2016-09-14 15:10:02.189000, Balance: 10004.30,0.00, 0
2016-09-14 15:14:46.083000, Balance: 10004.30,0.00, 0
2016-09-14 15:17:52.620000, Balance: 10004.30,0.00, 0
2016-09-14 15:22:28.176000, Balance: 10004.30,0.00, 0
2016-09-14 15:25:08.316000, Balance: 10004.30,0.00, 0
2016-09-14 15:27:52.543000, Balance: 10004.30,0.00, 0
2016-09-14 15:30:03.873000, Balance: 10004.30,0.00, 0
2016-09-14 15:30:53.590000, Balance: 10004.30,0.00, 0
2016-09-14 15:31:43.804000, Balance: 10004.30,0.00, 0
2016-09-14 15:32:39.782000, Balance: 10004.30,0.00, 0
2016-09-14 15:33:41.099000, Balance: 10004.30, Current Profit: 0.00000, Units 10
2016-09-14 15:34:52.223000, Balance: 10004.30, Current Profit: 2.65000, Units 10
2016-09-14 15:36:05.867000, Balance: 10004.30, Current Profit: 2.00000, Units 10
2016-09-14 15:37:34.186000, Balance: 10004.30, Current Profit: 2.32500, Units 10
2016-09-14 15:39:07.624000, Balance: 10004.30, Current Profit: 0.52500, Units 10
2016-09-14 15:40:01.273000, Balance: 10004.30, Current Profit: -0.32500, Units 10
2016-09-14 15:41:22.328000, Balance: 10004.30, Current Profit: -0.57500, Units 10
2016-09-14 15:42:45.657000, Balance: 10004.30, Current Profit: -1.02500, Units 10
2016-09-14 15:44:07.136000, Balance: 10004.30, Current Profit: -2.77500, Units 10
2016-09-14 15:44:56.792000, Balance: 9999.80,0.00, 0
2016-09-14 15:46:05.164000, Balance: 9999.80,0.00, 0
2016-09-14 15:47:12.387000, Balance: 9999.80,0.00, 0
2016-09-14 15:48:42.544000, Balance: 9999.80,0.00, 0
2016-09-14 15:49:59.808000, Balance: 9999.80,0.00, 0
2016-09-14 15:51:23.371000, Balance: 9999.80, Current Profit: 0.10000, Units -10
2016-09-14 15:52:46.331000, Balance: 9999.80, Current Profit: 0.10000, Units -10
2016-09-14 15:54:07.171000, Balance: 9999.80, Current Profit: 0.50000, Units -10
2016-09-14 15:55:36.582000, Balance: 9999.80, Current Profit: -0.47500, Units -10
2016-09-14 15:57:13.480000, Balance: 9999.80, Current Profit: -0.45000, Units -10
2016-09-14 15:59:13.112000, Balance: 9999.80, Current Profit: -0.02500, Units -10
2016-09-14 16:01:09.633000, Balance: 9999.80, Current Profit: -1.15000, Units -10
2016-09-14 16:03:05.572000, Balance: 9999.80, Current Profit: -1.80000, Units -10
2016-09-14 16:04:59.827000, Balance: 9999.80, Current Profit: -1.20000, Units -10
2016-09-14 16:07:08.411000, Balance: 9999.80, Current Profit: -0.32500, Units -10
2016-09-14 16:08:49.689000, Balance: 9999.80, Current Profit: 0.60000, Units -10
2016-09-14 16:10:44.867000, Balance: 9999.80, Current Profit: 0.40000, Units -10
2016-09-14 16:12:51.750000, Balance: 9999.80, Current Profit: 0.75000, Units -10
2016-09-14 16:14:50.880000, Balance: 9999.80, Current Profit: 0.55000, Units -10
